reference	hypA	hypB	annotation
qui est un aciériste un industriel qui n' est pas un financier	qui est un assiériste un industriel qui n' est pas un financier	est un aciéristes un industriel qui n' est pas un financier	0
avec cinquante six pour cent des voix céline bracq bonjour vous êtes directrice adjointe de bva françois hollande progresse	avec cinquante six pourcent des voix céline brague bonjour vous êtes directrice adjointe de bva françois hollande progresse	avec cinquante six pour cent des voix céline bracqu bonjour vous êtes dirigeant-rise) adjointe de bva françois hollande progresse	1
avec cinquante six pour cent des voix céline bracq bonjour vous êtes directrice adjointe de bva françois hollande progresse	avec cinquante six pour cent des voix céline bracqu bonjour vous êtes dirigeant-rise) adjointe de bva françois hollande progresse	avec cinquante six pourcent des voix céline brague bonjour vous êtes directrice adjointe de bva françois hollande progresse	0
et nous on souhaite avec geoffroy et beaucoup de de militants de responsables dans les départements de parlementaires	nous on souhaite avec geoffroy et beaucoup de de militants de rester dans les départements de parlementaires	et nous on souhaite avec jeu froid et beaucoup de de militants de reoi) dans les départements de parlementaires	1
et nous on souhaite avec geoffroy et beaucoup de de militants de responsables dans les départements de parlementaires	et nous on souhaite avec jeu froid et beaucoup de de militants de reoi) dans les départements de parlementaires	nous on souhaite avec geoffroy et beaucoup de de militants de rester dans les départements de parlementaires	0
le régime syrien a atteint un niveau extrême de cruauté de meurtre	le régime syrien a atteint un niveau extrême de cruauté demeure	(en)fin le régime syrien a atteint un niveau extrême de cruauté fin de meurtre	0
le régime syrien a atteint un niveau extrême de cruauté de meurtre	(en)fin le régime syrien a atteint un niveau extrême de cruauté fin de meurtre	le régime syrien a atteint un niveau extrême de cruauté demeure	1
a exfiltré son mari vers le maroc où elle l' a	a expiltreré son mari vers le maroc où elle l' a	a exfiltré son mari vers le maroc où elle la	0
a exfiltré son mari vers le maroc où elle l' a	a exfiltré son mari vers le maroc où elle la	a expiltreré son mari vers le maroc où elle l' a	1
c' est moins que pékin mais c' est beaucoup plus que tous les les autres jo	et moi que pékin mais c' est beaucoup plus que tous les les autres	c' est moins que pékin mais c' est beaucoup plus que tous les les les autres egons	1
c' est moins que pékin mais c' est beaucoup plus que tous les les autres jo	c' est moins que pékin mais c' est beaucoup plus que tous les les les autres egons	et moi que pékin mais c' est beaucoup plus que tous les les autres	0
sur la fin sur la fin	la fin sur la fin	par la fi sur la fin	1
sur la fin sur la fin	par la fi sur la fin	la fin sur la fin	0
ils ont réussi à monter en gamme regardez les vins du languedoc roussillon	i(l)s ont réussi à monter en garde regardez les vins du dong doc roussillon	i(ls ont réussi à monter en gamme regardez les vingt du languedoc-roussillon	0
ils ont réussi à monter en gamme regardez les vins du languedoc roussillon	i(ls ont réussi à monter en gamme regardez les vingt du languedoc-roussillon	i(l)s ont réussi à monter en garde regardez les vins du dong doc roussillon	1
du terrorisme notamment le les loups solitaires	euh lors du terrorisme notamment euh les les loups solitaires	euh du terrorisme notamment euh les les lou solitaires	1
du terrorisme notamment le les loups solitaires	euh du terrorisme notamment euh les les lou solitaires	euh lors du terrorisme notamment euh les les loups solitaires	0
huit mille relayeurs se sont succédé depuis et depuis quelques jours elle fait le tour des quartiers de londres	huit milles relaeurs se sont euh succédés depuis et depuis quelques jours elle fait le tour des quartiers de londres	huit milles relaeurs se sont euh succédées depuis et depuis quelques jours elle fait le tour des quartiers de l' omdres	1
huit mille relayeurs se sont succédé depuis et depuis quelques jours elle fait le tour des quartiers de londres	huit milles relaeurs se sont euh succédées depuis et depuis quelques jours elle fait le tour des quartiers de l' omdres	huit milles relaeurs se sont euh succédés depuis et depuis quelques jours elle fait le tour des quartiers de londres	0
il faut surtout pas qu' on reste borné fermé accroché à un certain nombre de choses il faut faire évoluer	faut surtout pas qu' on reste borné fermer euh accrocher un certain nombre de choses il faut faire évoluer	il faut surtout pas qu' on reste e borné fermé euh accrocher un certain nombre de choses il faut faire évoluer	1
il faut surtout pas qu' on reste borné fermé accroché à un certain nombre de choses il faut faire évoluer	il faut surtout pas qu' on reste e borné fermé euh accrocher un certain nombre de choses il faut faire évoluer	faut surtout pas qu' on reste borné fermer euh accrocher un certain nombre de choses il faut faire évoluer	0
mais franchement vous	fin du mois	un naufragoi	0.5
mais franchement vous	un naufragoi	fin du mois	0.5
réduire la la compétitivité uniquement aux coûts salariaux	réduire la la compétitivité euh uniquement aux coût salariaux	réduire la la compétitivité euh uniquement baucoup salariaux	1
réduire la la compétitivité uniquement aux coûts salariaux	réduire la la compétitivité euh uniquement baucoup salariaux	réduire la la compétitivité euh uniquement aux coût salariaux	0
est ce qu' on en est capable	ce qu' on en est capable	est-ce qu' on en est capable	0
est ce qu' on en est capable	est-ce qu' on en est capable	ce qu' on en est capable	1
pour pour défendre évidemment votre candidat et puis avec nous sur ce plateau guillaume peltier bonsoir	pour euh pour défendre évidemment euh votre candidat que avec euh nous source plateaux guillaume pelletier bonsoir	pour euh pour défendre évidemment euh votre candidat et puis avece nous sur ce plateau guillaume peltier bonsoir	0
pour pour défendre évidemment votre candidat et puis avec nous sur ce plateau guillaume peltier bonsoir	pour euh pour défendre évidemment euh votre candidat et puis avece nous sur ce plateau guillaume peltier bonsoir	pour euh pour défendre évidemment euh votre candidat que avec euh nous source plateaux guillaume pelletier bonsoir	1
s' étaient trop facilement accommodés	était trop facilement accommoder	c' était trop facilement accommodé	0
s' étaient trop facilement accommodés	c' était trop facilement accommodé	était trop facilement accommoder	1
j' apprends tellement de choses catherine avec vous je vous regarde	j' apprends tellement de choses que j ril avec vo vou dete garde	je aprends tellement de choses que le vile avec vos vo vête garde	1
j' apprends tellement de choses catherine avec vous je vous regarde	je aprends tellement de choses que le vile avec vos vo vête garde	j' apprends tellement de choses que j ril avec vo vou dete garde	0
oui vous êtes assez non vous êtes	non	oui vous les aiz as' est non écoutez	0
oui vous êtes assez non vous êtes	oui vous les aiz as' est non écoutez	non	1
la compétition quelle que soit la performance réalisée quand la compétition est belle voilà le spectacle est là c' est	compétition quelle que soit la performance réalisée quand la compétition est belle voilà le spectacle et là c' est de	la compétition quelle que soit la performance réalisée quand la compétition est belle euh voilà le spectacle est là c' est de	0
la compétition quelle que soit la performance réalisée quand la compétition est belle voilà le spectacle est là c' est	la compétition quelle que soit la performance réalisée quand la compétition est belle euh voilà le spectacle est là c' est de	compétition quelle que soit la performance réalisée quand la compétition est belle voilà le spectacle et là c' est de	1
puis les candidats speak t il english	puis les candidat spektey inglisch	puis les candidats spicktil inglich	0
puis les candidats speak t il english	puis les candidats spicktil inglich	puis les candidat spektey inglisch	1
alors ronald du côté de l' organisation y a il y a t il encore quelques points noirs à régler	euh ronald du côté de l' organisation il y a y a-t-il encore quelques points noirs à régler	euh ren aldes du côté de l' organisation y a y a-t-il encore quelques points noirs à régler	1
alors ronald du côté de l' organisation y a il y a t il encore quelques points noirs à régler	euh ren aldes du côté de l' organisation y a y a-t-il encore quelques points noirs à régler	euh ronald du côté de l' organisation il y a y a-t-il encore quelques points noirs à régler	0
bérénice marlohe trente trois ans qui pour camper la bond girl a imaginé	bérénice marlo trente trois ans qui pour camper la bonde gueurre l' a imaginé	mérénice marlot trente trois ans qui pour campait la bonde gueur l' a imaginé	1
bérénice marlohe trente trois ans qui pour camper la bond girl a imaginé	mérénice marlot trente trois ans qui pour campait la bonde gueur l' a imaginé	bérénice marlo trente trois ans qui pour camper la bonde gueurre l' a imaginé	0
ce qui se passera après alors c' est ainsi que selon l' express le nom de	euh ce qui s() s() pas) sera après alors c' est ainsi que selon l' express le nom de	euh ce qui se s() pa() sera après alors c' est ainsi que selon l' express le nom de	0
ce qui se passera après alors c' est ainsi que selon l' express le nom de	euh ce qui se s() pa() sera après alors c' est ainsi que selon l' express le nom de	euh ce qui s() s() pas) sera après alors c' est ainsi que selon l' express le nom de	1
ça leur fait un coup de pub très intéressant	ça leur fait un coup de pub très intéressan	ça leur fait un coup de pube très intéressant	1
ça leur fait un coup de pub très intéressant	ça leur fait un coup de pube très intéressant	ça leur fait un coup de pub très intéressan	0
écologiste au sénat jean vincent placé sera mon invité ce soir	écologiste au séna jean vasent passe sera mon invité ce soir	écologiste au sénat j' on va s' en placer sera mon invité ce soir	0.5
écologiste au sénat jean vincent placé sera mon invité ce soir	écologiste au sénat j' on va s' en placer sera mon invité ce soir	écologiste au séna jean vasent passe sera mon invité ce soir	0.5
la compagnie aérienne propose à ses pilotes de travailler pour sa filiale low cost transavia	la compagnie aérienne propose à ses pilotes de travailler pour sa filiale locust transavia	la compagnie aérienne propose à ses pilotes de travailler pour sa filiale lo causte trans avia	1
la compagnie aérienne propose à ses pilotes de travailler pour sa filiale low cost transavia	la compagnie aérienne propose à ses pilotes de travailler pour sa filiale lo causte trans avia	la compagnie aérienne propose à ses pilotes de travailler pour sa filiale locust transavia	0
mais c' est vos	mais c' est veau(	mais c' est vous	1
mais c' est vos	mais c' est vous	mais c' est veau(	0
pour nous soumettre au débat public mais on nous l' a refusé	pour euh nous soumettre au débat public mais on nous l' a refusé	pour nous soumettre au débat public mais on nous la refuser	1
pour nous soumettre au débat public mais on nous l' a refusé	pour nous soumettre au débat public mais on nous la refuser	pour euh nous soumettre au débat public mais on nous l' a refusé	0
premier concert à new york et comme à londres les papys rockeurs prouvent qu' ils sont dans une forme olympique	premier concert à new york et comme à londres les papys rockeur prouve qu' ils sont dans une forme olympique	premier concert à new york et comme à londres les papirs rockoeurs prouvent qu' ils sont dans une forme olympique	1
premier concert à new york et comme à londres les papys rockeurs prouvent qu' ils sont dans une forme olympique	premier concert à new york et comme à londres les papirs rockoeurs prouvent qu' ils sont dans une forme olympique	premier concert à new york et comme à londres les papys rockeur prouve qu' ils sont dans une forme olympique	0
à notre question ça vous fait sourire on peut au moins sourire de cette question simplement moi je voudrais	de votre question ça vous fait sourire on peut comment sourire de cette question euh simplement moi je voudrais	à d'outre question ça vous fait sourire on peut au moins s'ourire de cette question euh simplement moi je voudrais	0
à notre question ça vous fait sourire on peut au moins sourire de cette question simplement moi je voudrais	à d'outre question ça vous fait sourire on peut au moins s'ourire de cette question euh simplement moi je voudrais	de votre question ça vous fait sourire on peut comment sourire de cette question euh simplement moi je voudrais	1
on a continué on a continué à se parler moi ce qui m' a vraiment frappé chez lui	on a continé euh on a continué à parler moi ce qui m' a vraiment frappé chez lieu	bon il a fonctionné euh on a continué à je parler moi je suis maintenant frappé chez eux	1
on a continué on a continué à se parler moi ce qui m' a vraiment frappé chez lui	bon il a fonctionné euh on a continué à je parler moi je suis maintenant frappé chez eux	on a continé euh on a continué à parler moi ce qui m' a vraiment frappé chez lieu	0
remède ici j' en ai entendu tout à l' heure quelques propositions	remède ici j' en ai entendu tout à l' heure quelques pro) propositions	rome a d' ici j' en ai entendu tout à l' heure quelques pro pre positions	1
remède ici j' en ai entendu tout à l' heure quelques propositions	rome a d' ici j' en ai entendu tout à l' heure quelques pro pre positions	remède ici j' en ai entendu tout à l' heure quelques pro) propositions	0
bien évidemment bien évidemment	y a évidemment bien évidemment	bien évidemment bien évidemment euh	0
bien évidemment bien évidemment	bien évidemment bien évidemment euh	y a évidemment bien évidemment	1
psy le chanteur sud coréen en costume de nostradamus	(s le chanteur sud-coréen en costume de nostra damu	si le chanteur sudcoreur en costume de nostradamu	1
psy le chanteur sud coréen en costume de nostradamus	si le chanteur sudcoreur en costume de nostradamu	(s le chanteur sud-coréen en costume de nostra damu	0
a su résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrement euh de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrementh de nicolas sarkozy	1
a su résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrementh de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrement euh de nicolas sarkozy	0
florence alors à la une des hebdos anne lauvergeon sans état d' âme	bougies alors à la une des hebdos anne lauvergeon sans état d' âme	flarane le rougi alors à la une des hebdo anne levergeonc sans état d' ame	1
florence alors à la une des hebdos anne lauvergeon sans état d' âme	flarane le rougi alors à la une des hebdo anne levergeonc sans état d' ame	bougies alors à la une des hebdos anne lauvergeon sans état d' âme	0
sais pas quel	sait pas que quel	sait pas quelle	0
sais pas quel	sait pas quelle	sait pas que quel	1
nous sommes avec une spécialiste de l' espagne économiste à l' ofce danielle schweisguth	nous sommes avec une spécialiste de l' espagne économiste à l' oce danielchwis goutth	nous sommes avec une spécialiste de l' espagne économiste à l' olce danièl schwise got	0
nous sommes avec une spécialiste de l' espagne économiste à l' ofce danielle schweisguth	nous sommes avec une spécialiste de l' espagne économiste à l' olce danièl schwise got	nous sommes avec une spécialiste de l' espagne économiste à l' oce danielchwis goutth	1
rentrer dans le stade et puis après y a tout un défilé tout un protocole	en rentrer dans le stade et puis après y a tout un dilfet tout un protocole	rentrer dans le stade et puis après y a tout un dilefé tout un protocole	0
rentrer dans le stade et puis après y a tout un défilé tout un protocole	rentrer dans le stade et puis après y a tout un dilefé tout un protocole	en rentrer dans le stade et puis après y a tout un dilfet tout un protocole	1
et mais en tout cas sur les cinq boxeurs engagés il y a deux boxeurs qui ont beaucoup d' expérience	et mais en tout caseuh sur les cinq boxeurs engagés il y a deux boxeurs qui ont beaucoup d' expériences	et mais en tout cas euh sur les cinq boxeurs engagés il y a deux boxeurs qui ont beaucoup d' expériences	0
et mais en tout cas sur les cinq boxeurs engagés il y a deux boxeurs qui ont beaucoup d' expérience	et mais en tout cas euh sur les cinq boxeurs engagés il y a deux boxeurs qui ont beaucoup d' expériences	et mais en tout caseuh sur les cinq boxeurs engagés il y a deux boxeurs qui ont beaucoup d' expériences	1
à condition aussi que ces hommes que l' armée utilise ces armes	aussi que ces hommes que l' armée utilisent ces armes	condition aussi que euh ces hommes que l' armée euh euh utilise ces armes	0
à condition aussi que ces hommes que l' armée utilise ces armes	condition aussi que euh ces hommes que l' armée euh euh utilise ces armes	aussi que ces hommes que l' armée utilisent ces armes	1
je pense que les gens qui sont là avant tout c' est des fans de tolkien	je pense que les gens qui sont là avant tout c' est des snes de tocken	je pense que des gens qui sont là avant tout c' est des fammes de tocken	0
je pense que les gens qui sont là avant tout c' est des fans de tolkien	je pense que des gens qui sont là avant tout c' est des fammes de tocken	je pense que les gens qui sont là avant tout c' est des snes de tocken	1
pour la russie comme pour la france	pour la russie internationale	pour la rssi comme pour le o	1
pour la russie comme pour la france	pour la rssi comme pour le o	pour la russie internationale	0
il ne faut pas s' s' en étonner	il ne faut pas s' en étonner	il ne faut pas s() s' en étonner	1
il ne faut pas s' s' en étonner	il ne faut pas s() s' en étonner	il ne faut pas s' en étonner	0
un grand rassemblement de l' unité nationale	un grand rassemblement de l' unité bon national et c' est un	un grand rassemblement de l' unité bon nationaleet cetuni	1
un grand rassemblement de l' unité nationale	un grand rassemblement de l' unité bon nationaleet cetuni	un grand rassemblement de l' unité bon national et c' est un	0
rapport de la cour des comptes il y a aucun doute si c' est cinq cents milliards	de la cour des comptes il y a aucun doute si c' est cinq cents mille	rapport de la cour des comptes il y a aucun doute si c' est sinpon mière	0.5
rapport de la cour des comptes il y a aucun doute si c' est cinq cents milliards	rapport de la cour des comptes il y a aucun doute si c' est sinpon mière	de la cour des comptes il y a aucun doute si c' est cinq cents mille	0.5
je ne berce pas mon public par des belles paroles rassurantes	je n' perséma mon public par des belles paroles rassurantes	je n' abpère que c' est pas moi public par des belles paroles rassurantes	1
je ne berce pas mon public par des belles paroles rassurantes	je n' abpère que c' est pas moi public par des belles paroles rassurantes	je n' perséma mon public par des belles paroles rassurantes	0
pour la russie comme pour la france	ici	pour la russi comme pour l aurop	0
pour la russie comme pour la france	pour la russi comme pour l aurop	ici	1
donc vous voyez que la politique fiscale du gouvernement que les écologistes tousenon soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes tous seront soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes nou se nons soutenons totalement	0
donc vous voyez que la politique fiscale du gouvernement que les écologistes tousenon soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes nou se nons soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes tous seront soutenons totalement	1
bien évidemment bien évidemment	bien évidemment bien évidemment euh	bien évidemment bien évidemment eun	1
bien évidemment bien évidemment	bien évidemment bien évidemment eun	bien évidemment bien évidemment euh	0
et plus surprenant lady gaga	est plus surprenant e lai di daga	et plus surprenant laydy gaga	0
et plus surprenant lady gaga	et plus surprenant laydy gaga	est plus surprenant e lai di daga	1
qu' elle est l' ambiance en haut monsieur	quelle était l' ambiance en vous monsieur	quelle était l' ambiance pon vous monsieur	1
qu' elle est l' ambiance en haut monsieur	quelle était l' ambiance pon vous monsieur	quelle était l' ambiance en vous monsieur	0
alors on va prendre par exemple ceux qu' on nous cite toujours en exemple les allemands	la coup du travail alors on va prendre par exemple ceux qu' on nous cite toujours en exemple les allem)	on cout travaillo on va prendre par exemple ce qu' on nous site toujours en exemple es allmes	1
alors on va prendre par exemple ceux qu' on nous cite toujours en exemple les allemands	on cout travaillo on va prendre par exemple ce qu' on nous site toujours en exemple es allmes	la coup du travail alors on va prendre par exemple ceux qu' on nous cite toujours en exemple les allem)	0
à la fois notre programme	euh à la fois notre programmes	euh à la fois nos programmes	1
à la fois notre programme	euh à la fois nos programmes	euh à la fois notre programmes	0
est ce vrai que la la sécurité fait exploser tous les budgets également	euh c' est vrai que la la sécurité fait exploser tous les budgets également	est-ce vrai que la la sécurité fait exposer tous les budgets également	0
est ce vrai que la la sécurité fait exploser tous les budgets également	est-ce vrai que la la sécurité fait exposer tous les budgets également	euh c' est vrai que la la sécurité fait exploser tous les budgets également	1
alors faut bien comprendre que tous les ans la la l' espagne renouvelle environ un septième de sa dette	alors euh faut bien comprendre que tous les ans euh l' e() la a l l' espagne renouvelle environ un septième de sa dette	alors euh faut bien comprendre que tous les ans euh l' e() la l() l' espagne renouvelle environ un septième de sa dette	0
alors faut bien comprendre que tous les ans la la l' espagne renouvelle environ un septième de sa dette	alors euh faut bien comprendre que tous les ans euh l' e() la l() l' espagne renouvelle environ un septième de sa dette	alors euh faut bien comprendre que tous les ans euh l' e() la a l l' espagne renouvelle environ un septième de sa dette	1
c' est ce qu' on appelle une anaphore en rhétorique la répétition de la même formule en début de phrase	je vous appelle une effort en rhitorique la répétition de la même formule en début de phrase	ce qu' on appelle une informe en rhétorique la répétition de la même formule en début de phrase	0
c' est ce qu' on appelle une anaphore en rhétorique la répétition de la même formule en début de phrase	ce qu' on appelle une informe en rhétorique la répétition de la même formule en début de phrase	je vous appelle une effort en rhitorique la répétition de la même formule en début de phrase	1
ça n' est pas la réalité	n' est pas la réalité	ce n' est pas la réalité	0
ça n' est pas la réalité	ce n' est pas la réalité	n' est pas la réalité	1
ensuite est ce qu' il va pouvoir violer son caractère profond	ensuite est-ce qu' i(l va pouvoir euh eu violer son caractère profond	ensuite est-ce qu' il va pouvoir euheuh violer son caractère profond	0
ensuite est ce qu' il va pouvoir violer son caractère profond	ensuite est-ce qu' il va pouvoir euheuh violer son caractère profond	ensuite est-ce qu' i(l va pouvoir euh eu violer son caractère profond	1
le prix sang neuf est décerné cette année à stefano sollima	prix sang neuf est décerné cette année pas des panneaux solaires	le prix cent neuf est décerné cette année a stéphano solivar	0
le prix sang neuf est décerné cette année à stefano sollima	le prix cent neuf est décerné cette année a stéphano solivar	prix sang neuf est décerné cette année pas des panneaux solaires	1
je sais pas s' il était avec nous florian gazan animateur radio sur fun radio qui était vraiment	je sais pas s' il est avec nous florent gazan animateur radio sur fun radio qui était vraiment	je sais pas s' il éait avec nous florient gazan animateur radio sur fun ne radio qui était vraiment	1
je sais pas s' il était avec nous florian gazan animateur radio sur fun radio qui était vraiment	je sais pas s' il éait avec nous florient gazan animateur radio sur fun ne radio qui était vraiment	je sais pas s' il est avec nous florent gazan animateur radio sur fun radio qui était vraiment	0
c' est c' est vraiment fini alors messieurs vous me faites je suis désolé mais dix secondes chacun sur borloo	c' est vraiment fini alors messieurs vous me faites je suis désolé mais dix secondes chacun seront borloo	euh c' est c' est vraiment celui alors messieurs vous me faites euh je suis désolé mais dix heures messieurs vous me faites euh je suis	1
c' est c' est vraiment fini alors messieurs vous me faites je suis désolé mais dix secondes chacun sur borloo	euh c' est c' est vraiment celui alors messieurs vous me faites euh je suis désolé mais dix heures messieurs vous me faites euh je suis	c' est vraiment fini alors messieurs vous me faites je suis désolé mais dix secondes chacun seront borloo	0
j' ai regardé partout en me disant quoi il s' est vraiment passé des choses incroyables	regardez partout en me disant court c' est vraiment passé des choses incroyables	gère cardié partout en disant quoi hein il s' est vraiment passé des choses incroyables	0
j' ai regardé partout en me disant quoi il s' est vraiment passé des choses incroyables	gère cardié partout en disant quoi hein il s' est vraiment passé des choses incroyables	regardez partout en me disant court c' est vraiment passé des choses incroyables	1
à dix neuf heures trente dans une petite heure maintenant william and kate avec la flamme à buckingham palace	a dix neuf heures trente dans une petite heure maintenant william nk7 avec la flamme à buckingham palace	à dix-neuf heures trente dans une petite heure maintenant william ankeitt avec la flamme à bukingham palace	0
à dix neuf heures trente dans une petite heure maintenant william and kate avec la flamme à buckingham palace	à dix-neuf heures trente dans une petite heure maintenant william ankeitt avec la flamme à bukingham palace	a dix neuf heures trente dans une petite heure maintenant william nk7 avec la flamme à buckingham palace	1
pas étalé dans le dans la presse	est allé dans le dans dans la presse	pas est allé dans la dans dans la presse euh	0
pas étalé dans le dans la presse	pas est allé dans la dans dans la presse euh	est allé dans le dans dans la presse	1
il y a maintenant un problème de de de voyous de voyoucratie de prise de pouvoir alors	il y a maintenant un problème de de de voyou de voyouocratie de prise de pouvoir alors	il y a maintenant un problème de de de voyou de voyou cratie de prise de pouvoir alors	0
il y a maintenant un problème de de de voyous de voyoucratie de prise de pouvoir alors	il y a maintenant un problème de de de voyou de voyou cratie de prise de pouvoir alors	il y a maintenant un problème de de de voyou de voyouocratie de prise de pouvoir alors	1
des fans prêtes à tout pour revoir leur star favorite	des femmes prête à tout pour avoir leurs stars favorites	des fannes prêtes à tout pour revoir leur star favorite	0
des fans prêtes à tout pour revoir leur star favorite	des fannes prêtes à tout pour revoir leur star favorite	des femmes prête à tout pour avoir leurs stars favorites	1
on là on va mettre une demie heure un professeur et trente enfants	on l' a on va mettre une demi-heure on va un professeur et trente enfants	on l'a on va mettre une demi-heure on va un professeur et trente enfants	0
on là on va mettre une demie heure un professeur et trente enfants	on l'a on va mettre une demi-heure on va un professeur et trente enfants	on l' a on va mettre une demi-heure on va un professeur et trente enfants	1
ça a rattrapé ça a retrouvé les dizaines de fois où il a toujours été comme ça	euh ça a atttrapé ça a retrouvé les dizaines de fois elle a toujours été comme ça	euh ça a rattrapé ça a retrouvé les dizaines de faux il a toujours été comme ça	1
ça a rattrapé ça a retrouvé les dizaines de fois où il a toujours été comme ça	euh ça a rattrapé ça a retrouvé les dizaines de faux il a toujours été comme ça	euh ça a atttrapé ça a retrouvé les dizaines de fois elle a toujours été comme ça	0
où y a l' ambiance très agréable	oui il y a une ambiance très agréable	où il y a une ambiance euh très agréable	1
où y a l' ambiance très agréable	où il y a une ambiance euh très agréable	oui il y a une ambiance très agréable	0
c' est c' est un modèle pour les femmes	et ça c' est un modèle pour les femmes	aase un c' est un modèle pour les femmes	1
c' est c' est un modèle pour les femmes	aase un c' est un modèle pour les femmes	et ça c' est un modèle pour les femmes	0
cinquante centimes non fifty cent	cinquante centimes non	cinquante centimes non aaa fii	1
cinquante centimes non fifty cent	cinquante centimes non aaa fii	cinquante centimes non	0
exprime le droit des musulmans à protester et appelle à l' utilisation de moyens civils et pacifiques	le droit des musulmans à protester et appelle à l' utilisation de moyens civils et pacifiques	exprimen le droit à des musulmans à protester et appell à l' utilisation de moyens civils et pacifiques	0
exprime le droit des musulmans à protester et appelle à l' utilisation de moyens civils et pacifiques	exprimen le droit à des musulmans à protester et appell à l' utilisation de moyens civils et pacifiques	le droit des musulmans à protester et appelle à l' utilisation de moyens civils et pacifiques	1
parce que juifs ou parce que chrétiens peu importe	parce que juifs ou parce que les chrétiens pimpante	parce qu est juif ou parce qu' est chrétien peu importe	0
parce que juifs ou parce que chrétiens peu importe	parce qu est juif ou parce qu' est chrétien peu importe	parce que juifs ou parce que les chrétiens pimpante	1
maxime poullaouec est il avec nous pour les infos trafic	maxime pour la ouedec est il avec nous pour les infos trafic	maxime poulawec est-il avec nous pour les infos trafics	0
maxime poullaouec est il avec nous pour les infos trafic	maxime poulawec est-il avec nous pour les infos trafics	maxime pour la ouedec est il avec nous pour les infos trafic	1
honoré au festival lumière le réalisateur qu' on sait engagé en a profité pour se révolter	aurait au festival lumière le réalisateur conseil engagée en a profité pour se révolter	au nord-et au festival lumière le réalisateur conseil engagé et on a profité pour se révolter	1
honoré au festival lumière le réalisateur qu' on sait engagé en a profité pour se révolter	au nord-et au festival lumière le réalisateur conseil engagé et on a profité pour se révolter	aurait au festival lumière le réalisateur conseil engagée en a profité pour se révolter	0
une nouvelle expo tim burton	nouvelle expo tim	au nouvel expo ting burton oui	1
une nouvelle expo tim burton	au nouvel expo ting burton oui	nouvelle expo tim	0
elle pourrait rentrer dans un gouvernement ps	elle pourrait rentrer dans un gouvernement je	elle pour rait rentrer dans un gouver e men e le ens ens pa	1
elle pourrait rentrer dans un gouvernement ps	elle pour rait rentrer dans un gouver e men e le ens ens pa	elle pourrait rentrer dans un gouvernement je	0
donc vous voyez que la politique fiscale du gouvernement que les écologistes tousenon soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes tous seront soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes tou se nou) soutenons totalement	1
donc vous voyez que la politique fiscale du gouvernement que les écologistes tousenon soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes tou se nou) soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes tous seront soutenons totalement	0
dix huit heures trente après	dix-huit heures et trent inte mintee après	dix-huit heures et trente minte après	0
dix huit heures trente après	dix-huit heures et trente minte après	dix-huit heures et trent inte mintee après	1
cette fois ci c' est vraiment la fin la fin pour france soir liquidé	cette fois ci c' est vraiment la faim la faim pour france soir liquider	cette fois-ci c' est vraiment la fin la fin pour francesoir liquide	0
cette fois ci c' est vraiment la fin la fin pour france soir liquidé	cette fois-ci c' est vraiment la fin la fin pour francesoir liquide	cette fois ci c' est vraiment la faim la faim pour france soir liquider	1
noise le dernier épisode de desperate housewives	le dernier épisode de sre al	is le dernier épisode de setterayd alswive	0
noise le dernier épisode de desperate housewives	is le dernier épisode de setterayd alswive	le dernier épisode de sre al	1
et et il consacre sa une à nicolas sarkozy pas mal	consacre sa une à nicolas sarkozy pas mal	et el con ça que ça une à nicolas sarkozy pas mal	1
et et il consacre sa une à nicolas sarkozy pas mal	et el con ça que ça une à nicolas sarkozy pas mal	consacre sa une à nicolas sarkozy pas mal	0
ils vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	ils vont être obligé d' envoyer des sportives euh aux jeux olympiques et le qatar même	0
ils vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	ils vont être obligé d' envoyer des sportives euh aux jeux olympiques et le qatar même	vont être obligés d' envoyer des sportives aux jeux olympiques et le qatar même	1
on disait c' est une marque vieillissante un peu datée ils font des voitures maintenant formidable la ds3 la ds4	euh on disait c' est une marque vieillissante un peu datée ils font des voitures maintenant formidables la ds trois la ds quatre	euh on disait c' est une marque vieillissante un peu datée ils font des voitures maintenant formidable la dstroi la dskt	1
on disait c' est une marque vieillissante un peu datée ils font des voitures maintenant formidable la ds3 la ds4	euh on disait c' est une marque vieillissante un peu datée ils font des voitures maintenant formidable la dstroi la dskt	euh on disait c' est une marque vieillissante un peu datée ils font des voitures maintenant formidables la ds trois la ds quatre	0
